exchange,baseAsset,futuresInstrumentId
Binance,BTC,BTCUSD_PERP
Binance,BTC,BTCUSD_250627
Binance,BTC,BTCUSD_250926
Binance,ETH,ETHUSD_PERP
Binance,ETH,ETHUSD_250627
Binance,ETH,ETHUSD_250926
Binance,BTC,BTCUSDT
Binance,ETH,ETHUSDT
Binance,ETH,ETHBTC
Binance,BTC,BTCUSDC
Binance,ETH,ETHUSDC
Binance,BTC,BTCUSDT_250627
Binance,ETH,ETHUSDT_250627
Binance,BTC,BTCUSDT_250926
Binance,ETH,ETHUSDT_250926
Binance,BTC,BTCBUSD
Binance,ETH,ETHBUSD
BingX,BTC,BTC-USDT
BingX,ETH,ETH-USDT
BingX,BTC,BTC-USDC
BingX,ETH,ETH-USDC
Bitfinex,BTC,tBTCF0:USTF0
Bitfinex,ETH,tETHF0:USTF0
Bitget,BTC,BTCUSDT_UMCBL
Bitget,ETH,ETHUSDT_UMCBL
Bitget,BTC,BTCUSD_DMCBL
Bitget,ETH,ETHUSD_DMCBL
Bitget,ETH,ETHUSDM25_DMCBL
Bitget,BTC,BTCUSDM25_DMCBL
Bitget,ETH,ETHUSDU25_DMCBL
Bitget,BTC,BTCUSDU25_DMCBL
Bitmex,BTC,XBTUSDT
Bitmex,BTC,XBTETH
Bitmex,BTC,XBTUSD
Bitmex,BTC,XBTEUR
Bitmex,BTC,XBTK25
Bitmex,BTC,XBTM25
Bitmex,BTC,XBTUSDTM25
Bitmex,BTC,XBTU25
Bitmex,BTC,XBTZ25
Bitmex,ETH,ETHUSDT
Bitmex,ETH,ETHUSD
Bitmex,ETH,ETHM25
Bitmex,ETH,ETHUSDM25
Bitunix,BTC,BTCUSDT
Bitunix,ETH,ETHUSDT
Bybit,BTC,BTC-26DEC25
Bybit,BTC,BTC-26SEP25
Bybit,BTC,BTC-27JUN25
Bybit,BTC,BTCPERP
Bybit,BTC,BTCUSDT
Bybit,BTC,BTCUSDT-09MAY25
Bybit,BTC,BTCUSDT-16MAY25
Bybit,BTC,BTCUSDT-23MAY25
Bybit,BTC,BTCUSDT-26DEC25
Bybit,BTC,BTCUSDT-26SEP25
Bybit,BTC,BTCUSDT-27JUN25
Bybit,BTC,BTCUSDT-27MAR26
Bybit,BTC,BTCUSDT-30MAY25
Bybit,ETH,ETH-26DEC25
Bybit,ETH,ETH-26SEP25
Bybit,ETH,ETH-27JUN25
Bybit,ETH,ETHPERP
Bybit,ETH,ETHUSDT
Bybit,ETH,ETHUSDT-09MAY25
Bybit,ETH,ETHUSDT-16MAY25
Bybit,ETH,ETHUSDT-23MAY25
Bybit,ETH,ETHUSDT-26DEC25
Bybit,ETH,ETHUSDT-26SEP25
Bybit,ETH,ETHUSDT-27JUN25
Bybit,ETH,ETHUSDT-27MAR26
Bybit,ETH,ETHUSDT-30MAY25
Bybit,BTC,BTCUSD
Bybit,BTC,BTCUSDM25
Bybit,BTC,BTCUSDU25
Bybit,ETH,ETHUSD
Bybit,ETH,ETHUSDM25
Bybit,ETH,ETHUSDU25
CME,BTC,BTCUSD
CME,ETH,ETHUSD
CoinEx,BTC,BTCUSD
CoinEx,BTC,BTCUSDT
CoinEx,BTC,BTCUSDC
CoinEx,ETH,ETHUSD
CoinEx,ETH,ETHUSDT
CoinEx,ETH,ETHUSDC
Coinbase,ETH,ETH-PERP
Coinbase,BTC,BTC-PERP
Crypto.com,BTC,BTCUSD-250530
Crypto.com,BTC,BTCUSD-250627
Crypto.com,BTC,BTCUSD-250725
Crypto.com,BTC,BTCUSD-250926
Crypto.com,BTC,BTCUSD-PERP
Crypto.com,ETH,ETHUSD-250530
Crypto.com,ETH,ETHUSD-250627
Crypto.com,ETH,ETHUSD-250725
Crypto.com,ETH,ETHUSD-250926
Crypto.com,ETH,ETHUSD-PERP
Deribit,BTC,BTC-9MAY25
Deribit,BTC,BTC-16MAY25
Deribit,BTC,BTC-30MAY25
