date,timestamp,FR_open,FR_close,FR_high,FR_low,perp_exchange,perp_symbol
2023-12-10,1702166400,0.016617,0.024124,0.026127,0.014986,Binance,ETHUSDT
2023-12-11,1702252800,0.024124,0.01,0.024128,0.01,Binance,ETHUSDT
2023-12-12,1702339200,0.01,0.012911,0.024589,0.01,Binance,ETHUSDT
2023-12-13,1702425600,0.012911,0.01,0.020022,0.01,Binance,ETHUSDT
2023-12-14,1702512000,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2023-12-15,1702598400,0.01,0.01,0.011954,0.01,Binance,ETHUSDT
2023-12-16,1702684800,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2023-12-17,1702771200,0.01,0.015192,0.020451,0.01,Binance,ETHUSDT
2023-12-18,1702857600,0.015192,0.01,0.015192,0.01,Binance,ETHUSDT
2023-12-19,1702944000,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2023-12-20,1703030400,0.01,0.026163,0.035445,0.01,Binance,ETHUSDT
2023-12-21,1703116800,0.026163,0.044206,0.049035,0.025711,Binance,ETHUSDT
2023-12-22,1703203200,0.044206,0.018541,0.054909,0.017742,Binance,ETHUSDT
2023-12-23,1703289600,0.018541,0.013168,0.020324,0.01119,Binance,ETHUSDT
2023-12-24,1703376000,0.013168,0.013876,0.02499,0.013168,Binance,ETHUSDT
2023-12-25,1703462400,0.013876,0.050138,0.058781,0.013767,Binance,ETHUSDT
2023-12-26,1703548800,0.050138,0.03159,0.05077,0.026177,Binance,ETHUSDT
2023-12-27,1703635200,0.03159,0.027215,0.056171,0.027215,Binance,ETHUSDT
2023-12-28,1703721600,0.027215,0.044508,0.059834,0.025941,Binance,ETHUSDT
2023-12-29,1703808000,0.044508,0.027255,0.056407,0.027255,Binance,ETHUSDT
2023-12-30,1703894400,0.027255,0.021789,0.035231,0.021789,Binance,ETHUSDT
2023-12-31,1703980800,0.021789,0.027861,0.037575,0.021569,Binance,ETHUSDT
2024-01-01,1704067200,0.027861,0.05341,0.05341,0.027846,Binance,ETHUSDT
2024-01-02,1704153600,0.05341,0.028609,0.084289,0.028609,Binance,ETHUSDT
2024-01-03,1704240000,0.028609,0.01,0.031637,0.01,Binance,ETHUSDT
2024-01-04,1704326400,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-05,1704412800,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-06,1704499200,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-07,1704585600,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-08,1704672000,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-09,1704758400,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-10,1704844800,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-11,1704931200,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-12,1705017600,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-13,1705104000,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-14,1705190400,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-15,1705276800,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-16,1705363200,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-17,1705449600,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-18,1705536000,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-19,1705622400,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-20,1705708800,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-21,1705795200,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-22,1705881600,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-23,1705968000,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-24,1706054400,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-25,1706140800,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-26,1706227200,0.01,0.006873,0.01,0.006,Binance,ETHUSDT
2024-01-27,1706313600,0.006873,0.006574,0.01,0.006565,Binance,ETHUSDT
2024-01-28,1706400000,0.006574,0.01,0.01,0.005761,Binance,ETHUSDT
2024-01-29,1706486400,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2024-01-30,1706572800,0.01,0.01,0.01,0.005245,Binance,ETHUSDT
2024-01-31,1706659200,0.01,0.005582,0.01,0.005582,Binance,ETHUSDT
2024-02-01,1706745600,0.005582,0.01,0.01,0.005231,Binance,ETHUSDT
2024-02-02,1706832000,0.01,0.008076,0.01,0.003104,Binance,ETHUSDT
