date,timestamp,SP_open,SP_close,SP_high,SP_low,SP_vol,spot_exchange,spot_symbol
2022-09-16,1663286400,1472.76,1433.9,1483.35,1405.52,1006033555.1975,Binance,ETHUSDT
2022-09-17,1663372800,1433.9,1468.83,1476.13,1409.12,608805593.7143,Binance,ETHUSDT
2022-09-18,1663459200,1468.82,1334.51,1469.63,1325.55,1118416540.5607,Binance,ETHUSDT
2022-09-19,1663545600,1334.51,1375.98,1393.35,1280.0,1293086590.9414,Binance,ETHUSDT
2022-09-20,1663632000,1375.98,1322.93,1384.78,1312.71,889324871.2362,Binance,ETHUSDT
2022-09-21,1663718400,1322.94,1245.78,1408.9,1220.0,1582450799.9375,Binance,ETHUSDT
2022-09-22,1663804800,1245.79,1326.46,1350.08,1237.32,1165151398.8301,Binance,ETHUSDT
2022-09-23,1663891200,1326.47,1327.25,1360.0,1262.15,1273403019.6925,Binance,ETHUSDT
2022-09-24,1663977600,1327.24,1317.13,1349.33,1306.52,687931980.0086,Binance,ETHUSDT
2022-09-25,1664064000,1317.13,1294.63,1337.0,1269.27,674560079.1823,Binance,ETHUSDT
2022-09-26,1664150400,1294.62,1336.17,1340.42,1277.85,1048795559.3589,Binance,ETHUSDT
2022-09-27,1664236800,1336.17,1328.02,1400.0,1303.75,1170630640.6266,Binance,ETHUSDT
2022-09-28,1664323200,1328.01,1337.2,1355.7,1253.2,1199743172.3853,Binance,ETHUSDT
2022-09-29,1664409600,1337.2,1335.7,1352.02,1288.52,1022673511.0867,Binance,ETHUSDT
2022-09-30,1664496000,1335.69,1328.72,1373.19,1313.35,991505362.2653,Binance,ETHUSDT
2022-10-01,1664582400,1328.71,1311.79,1333.69,1302.68,332930112.0254,Binance,ETHUSDT
2022-10-02,1664668800,1311.79,1276.72,1317.93,1270.0,482595051.2817,Binance,ETHUSDT
2022-10-03,1664755200,1276.72,1323.09,1329.9,1263.04,631178676.5356,Binance,ETHUSDT
2022-10-04,1664841600,1323.1,1361.49,1369.55,1318.66,641511283.3983,Binance,ETHUSDT
2022-10-05,1664928000,1361.5,1352.2,1364.77,1316.29,649745323.3681,Binance,ETHUSDT
2022-10-06,1665014400,1352.2,1352.06,1383.99,1345.01,783638743.1557,Binance,ETHUSDT
2022-10-07,1665100800,1352.07,1331.1,1361.75,1317.26,659508723.3541,Binance,ETHUSDT
2022-10-08,1665187200,1331.1,1315.48,1337.35,1303.51,269448439.3393,Binance,ETHUSDT
2022-10-09,1665273600,1315.48,1323.13,1329.0,1307.26,245547831.3205,Binance,ETHUSDT
2022-10-10,1665360000,1323.13,1290.03,1338.0,1288.0,515800751.3384,Binance,ETHUSDT
2022-10-11,1665446400,1290.03,1280.11,1298.0,1267.01,550448836.8093,Binance,ETHUSDT
2022-10-12,1665532800,1280.11,1294.44,1306.87,1275.25,478797824.542,Binance,ETHUSDT
2022-10-13,1665619200,1294.44,1287.08,1301.58,1190.0,1183462907.9301,Binance,ETHUSDT
2022-10-14,1665705600,1287.08,1296.27,1343.12,1283.39,883059208.7145,Binance,ETHUSDT
2022-10-15,1665792000,1296.26,1274.92,1301.69,1263.64,368914560.6582,Binance,ETHUSDT
2022-10-16,1665878400,1274.93,1305.95,1315.35,1274.67,379290237.6395,Binance,ETHUSDT
2022-10-17,1665964800,1305.96,1331.4,1338.57,1295.64,606979972.119,Binance,ETHUSDT
2022-10-18,1666051200,1331.39,1310.71,1341.73,1286.72,755297911.2919,Binance,ETHUSDT
2022-10-19,1666137600,1310.71,1285.09,1313.5,1280.31,478516630.187,Binance,ETHUSDT
2022-10-20,1666224000,1285.09,1282.57,1310.87,1270.36,552593958.2127,Binance,ETHUSDT
2022-10-21,1666310400,1282.57,1299.75,1306.97,1252.65,600999941.1065,Binance,ETHUSDT
2022-10-22,1666396800,1299.76,1313.61,1320.2,1294.32,290111447.6281,Binance,ETHUSDT
2022-10-23,1666483200,1313.62,1364.2,1371.55,1299.44,576212623.6003,Binance,ETHUSDT
2022-10-24,1666569600,1364.19,1343.61,1370.6,1324.17,822740466.6734,Binance,ETHUSDT
2022-10-25,1666656000,1343.61,1459.74,1525.16,1334.94,1612140846.3052,Binance,ETHUSDT
2022-10-26,1666742400,1459.74,1566.1,1594.99,1457.44,1896388070.2498,Binance,ETHUSDT
2022-10-27,1666828800,1566.11,1514.05,1578.58,1503.2,1345399838.0373,Binance,ETHUSDT
2022-10-28,1666915200,1514.04,1554.41,1574.9,1479.82,1309517416.2411,Binance,ETHUSDT
2022-10-29,1667001600,1554.4,1619.55,1663.06,1547.66,1477815830.6392,Binance,ETHUSDT
2022-10-30,1667088000,1619.55,1590.44,1640.06,1576.56,762732547.0916,Binance,ETHUSDT
2022-10-31,1667174400,1590.45,1572.69,1635.8,1545.43,1283098004.7657,Binance,ETHUSDT
2022-11-01,1667260800,1572.69,1578.48,1612.92,1563.69,836251567.4246,Binance,ETHUSDT
2022-11-02,1667347200,1578.47,1518.34,1621.68,1502.32,1534786415.4392,Binance,ETHUSDT
2022-11-03,1667433600,1518.33,1531.01,1559.01,1515.17,863253444.7668,Binance,ETHUSDT
2022-11-04,1667520000,1531.01,1644.78,1680.0,1528.4,1503427052.7208,Binance,ETHUSDT
2022-11-05,1667606400,1644.78,1626.98,1666.97,1621.42,577061606.7337,Binance,ETHUSDT
2022-11-06,1667692800,1626.98,1568.29,1639.02,1564.39,668569491.5775,Binance,ETHUSDT
2022-11-07,1667779200,1568.25,1568.1,1608.04,1545.03,1013046543.9804,Binance,ETHUSDT
2022-11-08,1667865600,1568.09,1334.77,1579.98,1233.0,3356475001.5459,Binance,ETHUSDT
2022-11-09,1667952000,1334.78,1102.73,1337.16,1073.53,3021176147.3962,Binance,ETHUSDT
2022-11-10,1668038400,1102.73,1299.28,1350.0,1085.93,2443394252.5304,Binance,ETHUSDT
2022-11-11,1668124800,1299.28,1289.28,1310.0,1201.26,1652414528.5209,Binance,ETHUSDT
2022-11-12,1668211200,1289.35,1257.25,1292.16,1238.7,693031301.5989,Binance,ETHUSDT
2022-11-13,1668297600,1257.25,1221.49,1274.23,1200.66,676891239.2442,Binance,ETHUSDT
2022-11-14,1668384000,1221.5,1243.28,1291.2,1171.13,1152982945.602,Binance,ETHUSDT
2022-11-15,1668470400,1243.29,1253.23,1291.0,1234.01,798023541.2081,Binance,ETHUSDT
2022-11-16,1668556800,1253.22,1216.17,1268.67,1187.06,826025937.8363,Binance,ETHUSDT
2022-11-17,1668643200,1216.16,1200.43,1228.22,1181.05,638342419.8559,Binance,ETHUSDT
2022-11-18,1668729600,1200.42,1212.58,1234.0,1199.18,437658373.6744,Binance,ETHUSDT
