exchange,baseAsset,futuresInstrumentId
Binance,BTC,BTCUSDT
Binance,ETH,ETHUSDT
BingX,BTC,BTC-USDT
BingX,ETH,ETH-USDT
Bitget,BTC,BTCUSDT_UMCBL
Bitget,ETH,ETHUSDT_UMCBL
Bitmex,BTC,XBTUSDT
Bitmex,ETH,ETHUSDT
Bitunix,BTC,BTCUSDT
Bitunix,ETH,ETHUSDT
Bybit,BTC,BTCUSDT
Bybit,ETH,ETHUSDT
CME,BTC,BTCUSD
CME,ETH,ETHUSD
CoinEx,BTC,BTCUSDT
CoinEx,ETH,ETHUSDT
Coinbase,ETH,ETH-PERP
Coinbase,BTC,BTC-PERP
Crypto.com,BTC,BTCUSD-PERP
Crypto.com,ETH,ETHUSD-PERP
Deribit,BTC,BTC-PERPETUAL
Deribit,ETH,ETH-PERPETUAL
Gate.io,ETH,ETH_USDT
Gate.io,BTC,BTC_USDT
HTX,BTC,BTC-USDT
HTX,ETH,ETH-USDT
Kraken,BTC,PF_XBTUSD
Kraken,ETH,PF_ETHUSD
MEXC,BTC,BTC_USDT
MEXC,ETH,ETH_USDT
OKX,BTC,BTC-USDT-SWAP
OKX,ETH,ETH-USDT-SWAP
WhiteBIT,BTC,BTC_PERP
WhiteBIT,ETH,ETH_PERP
