exchange,baseAsset,futuresInstrumentId
Binance,BTC,BTCUSD_PERP
Binance,ETH,ETHUSD_PERP
Binance,BTC,BTCUSDT
Binance,ETH,ETHUSDT
BingX,BTC,BTC-USDT
BingX,ETH,ETH-USDT
Bitfinex,BTC,tBTCF0:USTF0
Bitfinex,ETH,tETHF0:USTF0
Bitget,BTC,BTCUSDT_UMCBL
Bitget,ETH,ETHUSDT_UMCBL
Bitmex,BTC,XBTUSDT
Bitmex,BTC,XBTUSD
Bitmex,ETH,ETHUSDT
Bitmex,ETH,ETHUSD
Bitunix,BTC,BTCUSDT
Bitunix,ETH,ETHUSDT
Bybit,BTC,BTCPERP
Bybit,BTC,BTCUSDT

Bybit,ETH,ETHPERP
Bybit,ETH,ETHUSDT

Bybit,BTC,BTCUSD

Bybit,ETH,ETHUSD

CME,BTC,BTCUSD
CME,ETH,ETHUSD
CoinEx,BTC,BTCUSD
CoinEx,BTC,BTCUSDT
CoinEx,ETH,ETHUSD
CoinEx,ETH,ETHUSDT
Coinbase,ETH,ETH-PERP
Coinbase,BTC,BTC-PERP

Crypto.com,BTC,BTCUSD-PERP

Crypto.com,ETH,ETHUSD-PERP

Deribit,BTC,BTC-PERPETUAL

Deribit,ETH,ETH-PERPETUAL
Gate.io,ETH,ETH_USDT
Gate.io,BTC,BTC_USDT

HTX,BTC,BTC-USDT
HTX,ETH,ETH-USDT

Kraken,BTC,PF_XBTUSD

Kraken,ETH,PF_ETHUSD
Kraken,ETH,FF_ETHUSD_250926

MEXC,BTC,BTC_USDT
MEXC,ETH,ETH_USDT

OKX,BTC,BTC-USD-SWAP
OKX,ETH,ETH-USD-SWAP
OKX,BTC,BTC-USDT-SWAP
OKX,ETH,ETH-USDT-SWAP


WhiteBIT,BTC,BTC_PERP
WhiteBIT,ETH,ETH_PERP
